Designator,Mid X,Mid Y,Layer,Rotation
C3,46.454mm,80.630mm,Bottom,180
C6,95.634mm,17.237mm,Bottom,0
C1,9.421mm,80.731mm,Bottom,180
C7,72.604mm,11.090mm,Bottom,180
R1,51.483mm,54.990mm,Bottom,180
R2,61.741mm,55.043mm,Bottom,180
R3,71.667mm,55.055mm,Bottom,180
R4,81.698mm,55.044mm,Bottom,180
R5,91.341mm,55.050mm,Bottom,180
R11,14.097mm,79.162mm,Bottom,90
R12,31.979mm,79.136mm,Bottom,90
R13,52.268mm,79.133mm,Bottom,90
R14,72.601mm,79.143mm,Bottom,90
R15,88.595mm,79.197mm,Bottom,90
R17,72.821mm,14.011mm,Bottom,0
R16,95.737mm,15.096mm,Bottom,-180
R6,16.891mm,79.111mm,Bottom,-90
R7,34.515mm,79.162mm,Bottom,-90
R8,54.870mm,79.163mm,Bottom,-90
R9,75.184mm,79.096mm,Bottom,-90
R10,91.211mm,79.187mm,Bottom,-90
C5,84.681mm,80.630mm,Bottom,180
U4,75.946mm,44.920mm,Bottom,0
U3,93.853mm,26.594mm,Bottom,-90
U2,35.890mm,66.091mm,Bottom,-90
C2,27.226mm,80.264mm,Bottom,180
C4,67.663mm,80.188mm,Bottom,180
R21,19.050mm,68.504mm,Bottom,270
R32,19.787mm,48.743mm,Bottom,180
R22,16.815mm,68.504mm,Bottom,-90
R23,14.732mm,68.504mm,Bottom,270
